code,name,site_url
DLX,Đại Học Lao Động – Xã Hội ( Cơ sở Hà Nội ),http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-lao-dong-xa-hoi-co-so-ha-noi-DLX.html
DMD,Đại học Công nghệ Miền Đông,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-mien-dong-DMD.html
DMS,Đại Học Tài Chính Marketing,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tai-chinh-marketing-DMS.html
DMT,Đại học Tài Nguyên và Môi Trường Hà Nội,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tai-nguyen-va-moi-truong-ha-noi-DMT.html
DNB,Đại Học Hoa Lư,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hoa-lu-DNB.html
DNC,Đại học Nam Cần Thơ,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nam-can-tho-DNC.html
DNH,Học Viện Khoa Học Quân Sự - Hệ Dân sự,http://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-khoa-hoc-quan-su-he-dan-su-DNH.html
DNT,Đại Học Ngoại Ngữ – Tin Học TPHCM,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngoai-ngu-tin-hoc-tphcm-DNT.html
DNU,Đại Học Đồng Nai,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dong-nai-DNU.html
DNV,Đại Học Nội Vụ,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-noi-vu-DNV.html
DPD,Đại Học Dân Lập Phương Đông,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dan-lap-phuong-dong-DPD.html
DPQ,Đại Học Phạm Văn Đồng,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-pham-van-dong-DPQ.html
DPT,Đại Học Phan Thiết,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phan-thiet-DPT.html
DPX,Đại Học Dân Lập Phú Xuân,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dan-lap-phu-xuan-DPX.html
DPY,Đại Học Phú Yên,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phu-yen-DPY.html
DQB,Đại Học Quảng Bình,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quang-binh-DQB.html
DQH,Học Viện Kĩ Thuật Quân Sự - Hệ Dân sự,http://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ki-thuat-quan-su-he-dan-su-DQH.html
DQK,Đại Học Kinh Doanh và Công Nghệ Hà Nội,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-doanh-va-cong-nghe-ha-noi-DQK.html
DQN,Đại Học Quy Nhơn,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quy-nhon-DQN.html
DQT,Đại Học Quang Trung,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quang-trung-DQT.html
DQU,Đại Học Quảng Nam,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quang-nam-DQU.html
DSD,"Đại Học Sân Khấu, Điện Ảnh TPHCM",http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-san-khau-dien-anh-tphcm-DSD.html
DSG,Đại Học Công Nghệ Sài Gòn,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-sai-gon-DSG.html
DTA,Đại Học Thành Tây,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thanh-tay-DTA.html
DTB,Đại Học Thái Bình,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thai-binh-DTB.html
DTC,Đại học Công Nghệ Thông Tin và Truyền Thông – Đại Học Thái Nguyên,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-thong-tin-va-truyen-thong-dai-hoc-thai-nguyen-DTC.html
DTD,Đại Học Tây Đô,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tay-do-DTD.html
DTE,Đại Học Kinh Tế  & Quản Trị Kinh Doanh – Đại Học Thái Nguyên,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quan-tri-kinh-doanh-dai-hoc-thai-nguyen-DTE.html
DTF,Khoa Ngoại Ngữ – Đại Học Thái Nguyên,http://diemthi.tuyensinh247.com/diem-chuan/khoa-ngoai-ngu-dai-hoc-thai-nguyen-DTF.html
DTH,Đại Học Hoa Sen,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hoa-sen-DTH.html
DTK,Đại Học Kỹ Thuật Công Nghiệp – Đại Học Thái Nguyên,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ky-thuat-cong-nghiep-dai-hoc-thai-nguyen-DTK.html
DTL,Đại Học Thăng Long,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thang-long-DTL.html
DTM,ĐH Tài Nguyên môi trường TPHCM,http://diemthi.tuyensinh247.com/diem-chuan/dh-tai-nguyen-moi-truong-tphcm-DTM.html
DTN,Đại Học Nông Lâm – Đại Học Thái Nguyên,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nong-lam-dai-hoc-thai-nguyen-DTN.html
